"CHEMBL1795613","CCCCc1ccc(-n2sc3ncc(-c4ccccc4)cc3c2=O)cc1",5.081969663,"train"
"CHEMBL3421948","CC(C)CN1C(=O)C(=Cc2ccc(O)c(O)c2)C(=O)N(CC(C)C)C1=O",5.26760624,"train"
"CHEMBL33778","CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O",5.381951903,"train"
"CHEMBL3421947","CC(C)CN1C(=O)C(=Cc2ccc(O)cc2)C(=O)N(CC(C)C)C1=O",5.070581074,"train"
"CHEMBL3416316","O=S1(=O)C=C(Sc2nnc(-c3ccncc3)o2)c2ccccc21",5.207608311,"train"
"CHEMBL455368","C=CC/C=C\C/C=C\CCCCCCCc1cccc(O)c1C(=O)O",5.301029996,"train"
"CHEMBL3416315","O=S1(=O)C=C(Sc2nnnn2-c2ccccc2)c2ccccc21",5.207608311,"train"
"CHEMBL1602759","O=S1(=O)C=C(Sc2nnc(-c3ccccc3)o2)c2ccccc21",4.958607315,"train"
"CHEMBL1795619","O=c1c2cccnc2sn1Cc1ccc(Cl)c(Cl)c1",5.274088368,"train"
"CHEMBL1795624","O=c1c2cccnc2sn1Cc1ccc(C(F)(F)F)cc1",5.227678293,"train"
"CHEMBL1600114","CNc1nc(-c2ccccc2)[n+](-c2ccc(C)cc2)s1",5.698970004,"train"
"CHEMBL1795618","O=c1c2cccnc2sn1Cc1ccc(Cl)cc1",5.241088108,"train"
"CHEMBL491092","O=c1ccsn1-c1ccc(N2CCOCC2)cc1",5.004364805,"train"
"CHEMBL1733695","Cc1csc(-n2sc3ccccc3c2=O)n1",5.089375595,"train"
"CHEMBL106011","O=c1c2cccnc2sn1-c1ccc(F)cc1",5.271646218,"train"
"CHEMBL295316","CC1=CC(=O)c2c(O)cccc2C1=O",5.698970004,"train"
"CHEMBL487498","O=c1ccsn1-c1cccnc1",4.841637508,"train"
"CHEMBL116438","COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O",3.397940009,"train"
"CHEMBL129964","O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)/C=C/c1ccc(O)c(O)c1",4.337242168,"train"
"CHEMBL17205","COc1cc(/C=C2CCC/C(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O",3.954677021,"train"
"CHEMBL222328","O=C1/C(=C/c2ccc(O)c(Br)c2)CCC/C1=Cc1ccc(O)c(Br)c1",5.301029996,"train"
"CHEMBL129148","O=C1/C(=C/c2ccc(O)c(O)c2)CCC/C1=Cc1ccc(O)c(O)c1",3.632644079,"train"
"CHEMBL222573","O=C(/C=C(O)/C=C/c1ccc(O)c(C(=O)O)c1)/C=C/c1ccc(O)c(C(=O)O)c1",4.677780705,"train"
"CHEMBL221782","O=C(/C=C(O)/C=C/c1ccc(O)c(Br)c1)/C=C/c1ccc(O)c(Br)c1",4.48148606,"train"
"CHEMBL4278758","CN1C(=O)/C(=C/c2ccccc2)C(=O)NC1=S",4.346787486,"train"
"CHEMBL4277382","Cc1cc(/C=C2C(=O)NC(=S)N(C)C2=O)c(C)n1C",4.853871964,"train"
"CHEMBL4277102","Cc1ccc(N2C(=O)/C(=CC=Cc3ccco3)C(=O)NC2=S)cc1Cl",6.15490196,"train"
"CHEMBL2203537","CN1C(=O)/C(=C/c2c[nH]c3ccccc23)C(=O)NC1=S",4.301029996,"train"
