"Molecule ChEMBL ID","Smiles","pIC50"
"CHEMBL236195","Clc1ccc(cc1)S(=O)(=O)N2C3CCCC2[C@@H](CC3)OC(=O)N4CCC(CC4)N5CCCCC5","5.615288257"
"CHEMBL310242","CC1(C)[C@H]2CCC(C)(C2)[C@H]1NS(=O)(=O)c3ccc(F)cc3","5.744727495"
"CHEMBL248327","CNc1cc(\C=C\c2cccc(\C=C\c3ccc(O)c(NC)c3)n2)ccc1O","6.301029996"
"CHEMBL3298066","Oc1ccc(\C=C\2/Oc3c(O)c(O)ccc3C2=O)cc1O","5.568636236"
"CHEMBL3297746","COC1=C(Oc2c(O)c(O)ccc2C1=O)c3ccc(O)c(O)c3","5.26760624"
"CHEMBL492024","COc1ccc2oc(\C=C\c3ccc(N)cc3)cc2c1","6.086186148"
"CHEMBL489994","CNc1ccc(\C=C\c2oc3cc(OC)ccc3c2)cc1","6.096910013"
"CHEMBL1082546","CNc1ccc(cn1)c2nc3cc(O)ccc3s2","7.13076828"
"CHEMBL1084944","CNc1ccc(cn1)c2oc3cc(OC)ccc3c2","7.180456064"
"CHEMBL236190","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)c(F)c2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","8.161150909"
"CHEMBL236189","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)c(F)c2)C3(CC3)OC(=O)N4CC5CCC(C4)N5CCO","7.568636236"
"CHEMBL429449","CC(C)(CO)N1CCN(CC1)C(=O)O[C@H]2CCC3CCCC2N3S(=O)(=O)c4ccc(Cl)cc4","7.244125144"
"CHEMBL492216","CN(C)c1ccc(\C=C\c2oc3ccccc3c2)cc1","5.638272164"
"CHEMBL491203","CN(C)c1ccc(\C=C\c2oc3ccc(O)cc3c2)cc1","6.795880017"
"CHEMBL509088","CN(C)c1ccc(\C=C\c2oc3ccc(C)cc3c2)cc1","6.886056648"
"CHEMBL2408096","COC(=O)c1ccc(\C=C\C(=O)c2ccc(OC)cc2O)cc1","4.623423043"
"CHEMBL2408093","COc1ccc(C(=O)\C=C\c2ccc(OCc3ccccc3)cc2)c(O)c1","5.107905397"
"CHEMBL3330741","O=C1NC(=O)C(=Cc2ccc(s2)c3ccc(s3)c4ccc(cc4)N(c5ccccc5)c6ccccc6)C(=O)N1","5"
"CHEMBL3330744","N#CC(=Cc1ccc(s1)c2ccc(c3ccc(cc3)N(c4ccccc4)c5ccccc5)c6nsnc26)C#N","5"
"CHEMBL200116","CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccccc2","5.173925197"
"CHEMBL200014","CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccccc2","5.004364805"
"CHEMBL202507","CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](CC(C)C)[C@@H](N)C[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)NCc2ccccc2","6.13076828"
"CHEMBL3326709","FC(F)(F)Oc1ccc2OC(=O)C(=Cc2c1)C(=O)NCCCCCCNc3c4CCCCc4nc5ccccc35","4.616184634"
"CHEMBL450926","CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c3cccs3","5.568636236"
"CHEMBL2436700","O=C1C=C(Oc2cc(OCCCCN3CCN(CCCNc4c5CCCCc5nc6ccccc46)CC3)ccc12)c7ccccc7","4.761953897"
"CHEMBL3286988","COc1cc(\C=C\2/Sc3nc(cn3C2=O)c4cccc(Cl)c4)cc(OC)c1O","8.22184875"
"CHEMBL436483","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(OC4CCC(CC4)C(F)(F)F)cc3","4.752026734"
"CHEMBL196246","OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)C(F)(F)F","3.954677021"
"CHEMBL264006","CC(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)C3CCCCC3","4.337242168"
"CHEMBL240286","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CC[C@@H](O)C4","7.251811973"
"CHEMBL240285","CCC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CC[C@@H](O)C4","7.327902142"
"CHEMBL240071","OCCN1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](CC(F)(F)F)N3S(=O)(=O)c4ccc(Cl)cc4","7.853871964"
"CHEMBL392060","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CC5CCC(C4)N5CCO","8.113509275"
"CHEMBL392059","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCO)C[C@@H]4C","7.853871964"
"CHEMBL238271","CCCC1(O)CCN(C1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](CC)N3S(=O)(=O)c4ccc(Cl)cc4","6.721246399"
"CHEMBL240069","OCCN1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@@H](C4CC4)N3S(=O)(=O)c5ccc(Cl)cc5","7.568636236"
"CHEMBL239629","OCCN1CCN(CC1)C(=O)OC2(CC2)[C@H]3CCC[C@H](N3S(=O)(=O)c4ccc(Cl)cc4)c5cc(F)cc(F)c5","8.619788758"
"CHEMBL236188","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)c(F)c2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO","8.017728767"
"CHEMBL236187","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)cc2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","7.795880017"
"CHEMBL248338","CN(C)c1cc(\C=C\c2cccc(\C=C\c3ccc(O)c(c3)N(C)C)c2)ccc1O","5.568636236"
"CHEMBL427878","COc1cc(\C=C\c2cc(Br)cc(\C=C\c3ccc(O)c(OC)c3)n2)ccc1O","5.958607315"
"CHEMBL524141","COc1ccc2cc(oc2c1)\C=C\c3ccc(cc3)N(C)C","7.15490196"
"CHEMBL491406","CN(C)c1ccc(\C=C\c2oc3cc(C)ccc3c2)cc1","5.463441557"
"CHEMBL490808","Cl.CNc1ccc(\C=C\c2oc3ccc(O)cc3c2)cc1","5.665546249"
"CHEMBL231446","CN1CCCC1CCNC(=O)OCCC2CCc3ccccc3N2S(=O)(=O)c4ccc(Cl)cc4","6.27572413"
"CHEMBL450553","CCN(CCCCCCN1C(=O)c2ccc3C(=O)N(CCCCCCN(CC)Cc4ccccc4OC)C(=O)c5ccc(C1=O)c2c35)Cc6ccccc6OC","5.013676223"
"CHEMBL248133","CNc1cc(\C=C\c2cccc(\C=C\c3ccc(OC)c(NC)c3)c2)ccc1OC","5.886056648"
"CHEMBL236187","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)cc2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","6.93930216"
"CHEMBL240070","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCO)CC4","7.920818754"
"CHEMBL239859","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCC(CC4)N5CCCCC5","8.455931956"
"CHEMBL236185","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(F)cc2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO","8"
"CHEMBL236184","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CC4)C(C)(C)CO","8.161150909"
"CHEMBL392059","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCN(CCO)C[C@@H]4C","7.920818754"
"CHEMBL394132","CC[C@@H]1CCC[C@@H](N1S(=O)(=O)c2ccc(Cl)cc2)C3(CC3)OC(=O)N4CCC(CCO)(CC4)OC","8.045757491"
